10/11/00 13:56:55,  0:00:00
10/11/00 15:17:55,  1:21:00
10/11/00 16:40:55,  1:23:00
10/11/00 18:09:55,  1:29:00
10/11/00 19:30:55,  1:21:00
10/11/00 21:00:55,  1:30:00
10/11/00 22:21:55,  1:21:00
10/11/00 23:44:55,  1:23:00
10/12/00 01:19:55,  1:35:00
10/12/00 02:55:55,  1:36:00
10/12/00 04:26:55,  1:31:00
10/12/00 05:53:55,  1:27:00
10/12/00 07:23:55,  1:30:00
10/12/00 08:58:55,  1:35:00
10/12/00 10:23:55,  1:25:00
10/12/00 11:48:55,  1:25:00
10/12/00 13:16:55,  1:28:00
10/12/00 14:38:55,  1:22:00
10/12/00 16:10:55,  1:32:00
10/12/00 17:40:55,  1:30:00
10/12/00 18:34:55,  0:54:00
10/12/00 20:15:55,  1:41:00
10/12/00 21:45:55,  1:30:00
10/12/00 23:10:55,  1:25:00
10/13/00 00:36:55,  1:26:00
10/13/00 02:10:55,  1:34:00
10/13/00 03:35:55,  1:25:00
10/13/00 04:58:55,  1:23:00
10/13/00 06:18:55,  1:20:00
10/13/00 07:38:55,  1:20:00
10/13/00 09:08:55,  1:30:00
10/13/00 10:53:55,  1:45:00
10/13/00 12:18:55,  1:25:00
10/13/00 13:44:55,  1:26:00
10/13/00 15:16:55,  1:32:00
10/13/00 16:37:55,  1:21:00
10/13/00 18:02:55,  1:25:00
10/13/00 19:25:55,  1:23:00
10/13/00 20:56:55,  1:31:00
10/13/00 22:28:55,  1:32:00
10/13/00 23:55:55,  1:27:00
10/14/00 01:17:55,  1:22:00
10/14/00 02:48:55,  1:31:00
10/14/00 04:12:55,  1:24:00
10/14/00 05:47:55,  1:35:00
10/14/00 07:09:55,  1:22:00
10/14/00 08:31:55,  1:22:00
10/14/00 09:57:55,  1:26:00
10/14/00 11:29:55,  1:32:00
10/14/00 12:58:55,  1:29:00
10/14/00 14:11:55,  1:13:00
10/14/00 15:43:55,  1:32:00
10/14/00 17:06:55,  1:23:00
10/14/00 18:43:55,  1:37:00
10/14/00 20:12:55,  1:29:00
10/14/00 21:45:55,  1:33:00
10/14/00 23:11:55,  1:26:00
10/15/00 00:39:55,  1:28:00
10/15/00 02:03:55,  1:24:00
10/15/00 03:33:55,  1:30:00
10/15/00 05:16:55,  1:43:00
10/15/00 06:48:55,  1:32:00
10/15/00 08:18:55,  1:30:00
10/15/00 09:46:55,  1:28:00
10/15/00 11:21:55,  1:35:00
10/15/00 12:49:55,  1:28:00
10/15/00 14:18:55,  1:29:00
10/15/00 15:36:55,  1:18:00
10/15/00 17:14:55,  1:38:00
10/15/00 18:38:55,  1:24:00
10/15/00 20:19:55,  1:41:00
10/15/00 21:42:55,  1:23:00
10/15/00 23:14:55,  1:32:00
10/16/00 00:57:55,  1:43:00
10/16/00 02:20:55,  1:23:00
10/16/00 03:44:55,  1:24:00
10/16/00 05:10:55,  1:26:00
10/16/00 06:34:55,  1:24:00
10/16/00 08:00:55,  1:26:00
10/16/00 09:30:55,  1:30:00
10/16/00 11:01:55,  1:31:00
10/16/00 12:20:55,  1:19:00
10/16/00 13:50:55,  1:30:00
10/16/00 15:10:55,  1:20:00
10/16/00 16:39:55,  1:29:00
10/16/00 17:58:55,  1:19:00
10/16/00 19:31:55,  1:33:00
10/16/00 20:58:55,  1:27:00
10/16/00 22:21:55,  1:23:00
10/16/00 23:51:55,  1:30:00
10/17/00 01:11:55,  1:20:00
10/17/00 02:48:55,  1:37:00
10/17/00 04:23:55,  1:35:00
10/17/00 05:53:55,  1:30:00
10/17/00 07:21:55,  1:28:00
10/17/00 08:38:55,  1:17:00
10/17/00 10:12:55,  1:34:00
10/17/00 11:33:55,  1:21:00
10/17/00 13:07:55,  1:34:00
10/17/00 14:26:55,  1:19:00
10/17/00 15:48:55,  1:22:00
10/17/00 17:11:55,  1:23:00
10/17/00 18:37:55,  1:26:00
10/17/00 20:14:55,  1:37:00
10/17/00 21:40:55,  1:26:00
10/17/00 22:56:55,  1:16:00
10/18/00 00:31:55,  1:35:00
10/18/00 01:55:55,  1:24:00
10/18/00 03:26:55,  1:31:00
10/18/00 04:58:55,  1:32:00
10/18/00 06:20:55,  1:22:00
10/18/00 07:50:55,  1:30:00
10/18/00 09:12:55,  1:22:00
10/18/00 10:52:55,  1:40:00
10/18/00 12:10:55,  1:18:00
10/18/00 13:34:55,  1:24:00
10/18/00 15:07:55,  1:33:00
10/18/00 16:38:55,  1:31:00
10/18/00 18:11:55,  1:33:00
10/18/00 19:29:55,  1:18:00
10/18/00 21:00:55,  1:31:00
10/18/00 22:36:55,  1:36:00
10/18/00 23:54:55,  1:18:00
10/19/00 01:26:55,  1:32:00
10/19/00 02:47:55,  1:21:00
10/19/00 04:22:55,  1:35:00
10/19/00 05:56:55,  1:34:00
10/19/00 07:19:55,  1:23:00
10/19/00 08:49:55,  1:30:00
10/19/00 09:59:55,  1:10:00
10/19/00 11:38:55,  1:39:00
10/19/00 13:02:55,  1:24:00
10/19/00 14:35:55,  1:33:00
10/19/00 16:02:55,  1:27:00
10/19/00 17:40:55,  1:38:00
10/19/00 19:15:55,  1:35:00
10/19/00 20:38:55,  1:23:00
10/19/00 22:20:55,  1:42:00
10/19/00 23:53:55,  1:33:00
10/20/00 01:20:55,  1:27:00
10/20/00 02:48:55,  1:28:00
10/20/00 04:28:55,  1:40:00
10/20/00 05:59:55,  1:31:00
10/20/00 07:36:55,  1:37:00
10/20/00 09:06:55,  1:30:00
10/20/00 10:34:55,  1:28:00
10/20/00 11:57:55,  1:23:00
10/20/00 13:23:55,  1:26:00
10/20/00 14:46:55,  1:23:00
10/20/00 16:09:55,  1:23:00
10/20/00 17:39:55,  1:30:00
10/20/00 19:00:55,  1:21:00
10/20/00 20:39:55,  1:39:00
10/20/00 22:05:55,  1:26:00
10/20/00 23:24:55,  1:19:00
10/21/00 00:49:55,  1:25:00
10/21/00 02:10:55,  1:21:00
10/21/00 03:36:55,  1:26:00
10/21/00 05:03:55,  1:27:00
10/21/00 06:41:55,  1:38:00
10/21/00 08:05:55,  1:24:00
10/21/00 09:28:55,  1:23:00
10/21/00 10:56:55,  1:28:00
10/21/00 12:29:55,  1:33:00
10/21/00 14:04:55,  1:35:00
10/21/00 15:23:55,  1:19:00
10/21/00 16:57:55,  1:34:00
10/21/00 18:18:55,  1:21:00
10/21/00 19:48:55,  1:30:00
10/21/00 21:12:55,  1:24:00
10/21/00 22:35:55,  1:23:00
10/22/00 00:05:55,  1:30:00
10/22/00 01:39:55,  1:34:00
10/22/00 03:24:55,  1:45:00
10/22/00 04:51:55,  1:27:00
10/22/00 06:21:55,  1:30:00
10/22/00 07:47:55,  1:26:00
